"Asset ID","Asset Name","Asset Type","Image","Serial Number","Company","Location","RW cycle","Status","FSA","Remarks/Purpose","Stylus ID","Warranty End","SAP Asset No","Repair History","Latitude","Longitude","Date Added","Last Activity","Group","Image URL",
"L072","Lenovo Yoga 370","TB-Laptop","TRN F12A-3","MP1CXHAU","AATC","SIN25-5500399","18","Ready","2413","","M18016","2021/03/21","3200045","","","","2018-07-12 13:47:35","Checked-out","TB/Laptops","https://storage.ventipix.com/asset_manager_assets/130337.jpg",
"L071","Lenovo Yoga 370","TB-Laptop","TRN F12A-1","MP1CXFM6","AATC","M01-13","12","Ready","2401","","M18016","2021/03/21","3200045","BER 4/5/2021","","","2018-07-12 13:47:06","Checked-in","TB/Laptops","https://storage.ventipix.com/asset_manager_assets/130336.jpg",
"L070","Lenovo Yoga 370","TB-Laptop","INS F12A-1","MP1C9J6N","AATC","Tan BP","12","Ready","2312","","M17263","2020/11/20","3200036","","","","2018-07-12 13:46:35","Available","TB/Laptops","https://storage.ventipix.com/asset_manager_assets/130335.jpg",
"L069","Lenovo Yoga 370","TB-Laptop","INS F11B-1","MP1C9J7T","AATC","Don Mishra","12","Ready","2302","","M17272","2020/11/20","","","","","2018-07-12 13:45:54","Available","TB/Laptops","https://storage.ventipix.com/asset_manager_assets/130334.jpg",
"L068","Lenovo Yoga 370","TB-Laptop","TRN F12A-3","MP1C9GG4","AATC","SIN25-5500247","18","Ready","2413","","M17385","2020/11/20","3200036","","","","2018-07-12 13:45:25","Checked-out","TB/Laptops","https://storage.ventipix.com/asset_manager_assets/130333.jpg",
"L067","Lenovo Yoga 370","TB-Laptop","TRN F12A-3","MP1C9GHT","AATC","SIN24-5502562","18","Ready","2412","","M17384","2020/11/20","3200036","","","","2018-07-12 13:44:41","Checked-out","TB/Laptops","https://storage.ventipix.com/asset_manager_assets/130332.jpg",
"L066","Lenovo Yoga 370","TB-Laptop","TRN F12A-3","MP1C9GHB","AATC","SIN24-2502474","15","Ready","2412","","M17385","2020/11/20","3200036","","","","2018-07-12 13:43:21","Available","TB/Laptops","https://storage.ventipix.com/asset_manager_assets/130331.jpg",
"L065","Lenovo Yoga 370","TB-Laptop","TRN F12A-3","MP1C9GHH","AATC","SIN24-5502559","19","Ready","2413","","M17263","2020/11/20","3200036","","","","2018-07-12 13:42:43","Available","TB/Laptops","https://storage.ventipix.com/asset_manager_assets/130330.jpg",
"L064","Lenovo Yoga 370","TB-Laptop","TRN F10D-1","MP1C9J6R","AATC","M01-13","15","Ready","2402","","M17384","2020/11/20","3200036","","","","2018-07-12 13:42:12","Available","TB/Laptops","https://storage.ventipix.com/asset_manager_assets/130329.jpg",
"L063","Lenovo Yoga 370","TB-Laptop","TRN F12A-3","MP1C9EHK","AATC","SIN25-5500245","16","Ready","2413","","M17354","2020/11/20","3200036","","","","2018-07-12 13:41:42","Checked-out","TB/Laptops","https://storage.ventipix.com/asset_manager_assets/130328.jpg",
"L062","Lenovo Yoga 370","TB-Laptop","TRN F12A-3","MP1C9J7K","AATC","SIN25-5500245","15","Ready","2413","","M17272","2020/11/20","3200036","","","","2018-07-12 13:41:14","Checked-out","TB/Laptops","https://storage.ventipix.com/asset_manager_assets/130327.jpg",
"L061","Lenovo Yoga 370","TB-Laptop","TRN F10A-1","MP1C9GGD","AATC","SIN24-8602514","11","Ready","2413","","M17376","2020/11/20","3200036","","","","2018-07-12 13:40:39","Checked-out","TB/Laptops","https://storage.ventipix.com/asset_manager_assets/130326.jpg",
"L060","Lenovo Yoga 370","TB-Laptop","TRN F12A-3","MP1C9EHS","AATC","SIN25-2500367","16","Ready","2413","","M17376","2020/11/20","3200036","","","","2018-07-12 10:02:54","Checked-out","TB/Laptops","https://storage.ventipix.com/asset_manager_assets/130325.jpg",
"L059","Lenovo Yoga 370","TB-Laptop","TRN F12A-3","MP1C9J6P","AATC","SIN25-2500367","16","Ready","2413","","M17274","2020/11/20","3200036","","","","2018-07-12 10:02:04","Checked-out","TB/Laptops","https://storage.ventipix.com/asset_manager_assets/130324.jpg",
"L058","Lenovo Yoga 370","TB-Laptop","INS F10D-1","MP1C9GHY","SIA","A350 Locker","7","Ready","2413","","M17385","2020/11/20","","","","","2018-07-12 10:01:19","Available","TB/Laptops","https://storage.ventipix.com/asset_manager_assets/130323.jpg",
"L057","Lenovo Yoga 370","TB-Laptop","INS F12A-3","MP1C9GHK","AATC","M01-13","17","Ready","2411","","M17385","2020/11/20","3200036","","","","2018-07-12 10:00:35","Checked-in","TB/Laptops","https://storage.ventipix.com/asset_manager_assets/130322.jpg",
"L056","Lenovo Yoga 370","TB-Laptop","TRN F12A-3","MP1C9GGM","AATC","SIN25-5600464","10","Ready","2413","","M17272","2020/11/20","","","","","2018-07-12 09:59:18","Checked-out","TB/Laptops","https://storage.ventipix.com/asset_manager_assets/130321.jpg",
"L055","Lenovo Yoga 370","TB-Laptop","INS F12A-1","MP1C9GJC","AATC","Clarence See","10","Ready","2313","","M17274","2020/11/20","3200045","","","","2018-07-12 09:58:25","Available","TB/Laptops","https://storage.ventipix.com/asset_manager_assets/130320.jpg",
"L054","Lenovo Yoga 370","TB-Laptop","NIL","MP1C9EJJ","AATC","M01-13","7","Retired","2107","BER PARTIAL","M17274","2020/11/20","3200035","Ex Thierry Weishaupt assigned Display crack","","","2018-07-12 09:57:37","Available","TB/Laptops","https://storage.ventipix.com/asset_manager_assets/130319.jpg",
"L053","Lenovo Yoga 370","TB-Laptop","TRN F12A-3","MP1C9GH8","AATC","M01-13","17","Ready","2413","","M17385","2020/11/20","3200036","","","","2018-07-12 09:57:12","Available","TB/Laptops","https://storage.ventipix.com/asset_manager_assets/130318.jpg",
"L052","Lenovo Yoga 370","TB-Laptop","TRN F12A-3","MP1C9GHH","AATC","SIN25-2500121","16","Ready","2413","","M17263","2020/11/20","3200036","","","","2018-07-12 09:56:46","Checked-out","TB/Laptops","https://storage.ventipix.com/asset_manager_assets/130317.jpg",
"L051","Lenovo Yoga 370","TB-Laptop","TRN F12A-3","MP1C9GGQ","AATC","SIN24-2502617","18","Ready","2411","","M17274","2020/11/20","3200036","","","","2018-07-12 09:56:05","Checked-out","TB/Laptops","https://storage.ventipix.com/asset_manager_assets/130316.jpg",
"L050","Lenovo Yoga 370","TB-Laptop","TRN F12A-3","MP1C9EJB","AATC","SIN25-2500121","16","Ready","2413","","M17274","2020/11/20","3200036","","","","2018-07-12 09:55:07","Checked-out","TB/Laptops","https://storage.ventipix.com/asset_manager_assets/130315.jpg",
"L049","Lenovo Yoga 370","TB-Laptop","TRN F12A-1","MP1C9GFS","AATC","M01-13","11","Ready","2412","","M17263","2020/11/20","3200036","Retired from active svc","","","2018-07-12 09:54:18","Available","TB/Laptops","https://storage.ventipix.com/asset_manager_assets/130314.jpg",
"L048","Lenovo Yoga 370","TB-Laptop","TRN F11B-1","MP1C9J6W","AATC","M01-13","16","Ready","2413","","M17385","2020/11/20","3200036","","","","2018-07-12 09:53:25","Checked-in","TB/Laptops","https://storage.ventipix.com/asset_manager_assets/130313.jpg",
"L047","Lenovo Yoga 370","TB-Laptop","TRN F12A-3","MP1C9JA8","AATC","M01-13","16","Ready","2408","","M17384","2020/11/20","3200036","2020/8/5 - USB-C charger issued. No follow-up, case closed.","","","2018-07-12 09:52:43","Checked-in","TB/Laptops","https://storage.ventipix.com/asset_manager_assets/130312.jpg",
"L046","Lenovo Yoga 370","TB-Laptop","TRN F12A-3","MP1C9GEE","AATC","SIN24-5501899","6","Ready","2413","","M17272","2020/11/20","3200036","","","","2018-07-12 09:52:06","Checked-out","TB/Laptops","https://storage.ventipix.com/asset_manager_assets/130311.jpg",
"L045","Lenovo Yoga 370","TB-Laptop","INS F12A-3","MP1C9GH2","AATC","Scoot Locker","14","Ready","2409","","M17263","2020/11/20","3200036","Battery swapped with L044 26/1/2021 - Power issue","","","2018-07-12 09:51:26","Available","TB/Laptops","https://storage.ventipix.com/asset_manager_assets/130310.jpg",
"L044","Lenovo Yoga 370","TB-Laptop","TRN F12A-1","MP1C9GG2","AATC","M01-13","10","Ready","2409","","M17272","2020/11/20","3200036","Touchpad replacement 21/1/2020     BER 18/1/2021 - retired from svc  Internal repaired RAM alignment 26/1/2021","","","2018-07-12 09:50:42","Available","TB/Laptops","https://storage.ventipix.com/asset_manager_assets/130309.jpg",
"L043","Lenovo Yoga 370","TB-Laptop","TRN F12A-1","MP1C9J6V","AATC","SFC","12","Ready","2401","","M17385","2020/11/20","3200036","2 chargers returned","","","2018-07-12 09:49:20","Available","TB/Laptops","https://storage.ventipix.com/asset_manager_assets/130308.jpg",
"L042","Lenovo Yoga 370","TB-Laptop","TRN F12A-3","MP1C9J6U","AATC","SIN24-2502605","18","Ready","2410","","M17385","2020/11/20","3200035","","","","2018-07-12 09:47:15","Checked-out","TB/Laptops","https://storage.ventipix.com/asset_manager_assets/130307.jpg",
"L041","Lenovo Yoga 370","TB-Laptop","TRN F12A-3","MP1C9GE3","AATC","SIN24-2502605","20","Ready","2410","","M17385","2020/11/20","3200036","","","","2018-07-12 09:43:30","Checked-out","TB/Laptops","https://storage.ventipix.com/asset_manager_assets/130306.jpg",
"L040","Lenovo Yoga 370","TB-Laptop","TRN F11B-1","MP1C9GEL","AATC","M01-13","14","TOG","2307","","M17385","2020/11/20","3200036","","","","2018-07-12 09:42:59","Checked-in","TB/Laptops","https://storage.ventipix.com/asset_manager_assets/130305.jpg",
"L039","Lenovo Yoga 370","TB-Laptop","TRN F12A-3","MP1C9GFQ","AATC","SIN24-5501899","15","Ready","2413","","M17274","2020/11/20","3200036","","","","2018-07-12 09:42:31","Checked-out","TB/Laptops","https://storage.ventipix.com/asset_manager_assets/130304.jpg",
"L038","Lenovo Yoga 370","TB-Laptop","TRN F11B-1","MP1C9GFC","AATC","M01-13","2","Ready","2303","NO MOVE (MASTER UNIT)","","2020/11/20","","","","","2018-07-12 09:41:27","Available","TB/Laptops","https://storage.ventipix.com/asset_manager_assets/130303.jpg",
